Feature,Mean |SHAP value|,Model Importance
Hour,0.13658464723088543,0.45740681504356445
Month,0.040475422365174624,0.10908878974746718
Season: Summer,0.03228366010277484,0.06322582171644367
Route: Route 4,0.028024131048353548,0.08725463209279628
Season: Winter,0.021152954197418087,0.03309746035299186
Route: Route 6,0.021066366034239746,0.037474182498069525
Route: Route 8,0.018829998387096508,0.01884332717914246
Day Of Week,0.011540155278868904,0.05860297956351881
Route: Route 1,0.011435647456121861,0.026163374344471645
Season: Spring,0.011072359195819028,0.01957097347075908
Route: Route 7,0.011056247589776387,0.017248360682982824
Route: Route 12,0.010901826957159027,0.021810674557634104
Route: Route 10,0.008610399991653785,0.013221737770824447
Route: Route 3,0.00613638275584468,0.010337634269861291
Is Weekend,0.005884420317469971,0.009578650448837276
Route: Route 11,0.0047276959248064646,0.0074836231057520885
Route: Route 13,0.003432554613256809,0.006823862284802029
Season: Fall,0.0014569305948254046,0.0027671008700807624
