Feature,Mean |SHAP Value|
Hour,0.1429234548083912
Month,0.041605957057877674
Season: Summer,0.0328984454808079
Route: Route 4,0.03216166444503464
Route: Route 6,0.018495399616174604
Season: Winter,0.018424255017910326
Route: Route 7,0.014462034234935391
Day Of Week,0.013925725972189683
Route: Route 8,0.013209518520407464
Season: Spring,0.013120738683065472
Route: Route 12,0.012969794946371217
Route: Route 1,0.010601293753861554
Route: Route 10,0.008026998769642517
Is Weekend,0.006524052379736682
Route: Route 3,0.005438900402654356
Route: Route 11,0.004846437498081289
Route: Route 13,0.003740577951205724
Season: Fall,0.000996531989582156
