Feature,Mean |SHAP value|,Model Importance
Occupancy,11.276902562379837,0.4510893
Lag 1,2.4020065154135226,0.27531397
Hour,2.0011569469049575,0.09882761
Month,0.7703253680467606,0.0025415258
Max Capacity,0.624499979838729,0.012942412
Lag 2,0.47342186387628316,0.124359205
Roll Mean 8,0.3796340015809983,0.013571164
Lag 4,0.1952436389774084,0.0046978546
Dayofweek,0.191373950317502,0.0032543784
Roll Mean 4,0.14854310099966825,0.004747061
Unit Encoded,0.08543158211745322,0.0022853897
Lag 3,0.07988372043822892,0.0011834109
Is Weekend,0.048002231810241935,0.005186708
