Feature,Mean |SHAP value|,Model Importance
Speed Kmh,0.12806632698376982,0.42923733423988836
Mean Travel Time,0.038786774759038294,0.30061777683467716
Delay Lag 1,0.009624867149072194,0.08143940276722562
Travel Lag 1,0.006976079654804741,0.058827306172534455
Delay Roll Max 6,0.0026074333223852415,0.0394593485900249
Travel Roll Max 6,0.0020806994230406733,0.029904604666472396
Delay Roll Mean 6,0.0019565072231970976,0.02520573028015387
Trend  Up,0.0017127042393821458,0.0060081574796870055
Travel Roll Mean 6,0.0013569916869414333,0.019644092308966313
Trend  Flat,0.0004910592432111367,0.0011782897144097491
Hour,0.00033538686266917873,0.002394120847130543
Wind Kmh,8.45728807768574e-05,0.0015641632632013103
Day Of Week,7.591223623832278e-05,0.001388134536378746
Temp C,6.711616405587866e-05,0.0008673606732209151
Month,6.369216039312229e-05,0.0014539242509241735
Is Weekend,8.228741969143286e-06,0.0004941359815581911
Precip Mm,5.619307514862975e-06,0.00031611452340836254
